id,doi,title,author,journaltitle,volume,issue,pubdate,pagerange,publisher,type,reviewed-work
10.2307/280973,10.2307/280973	,A Graph-Theoretic Approach to the Evolution of Cahokia	,Peter Peregrine	,American Antiquity	,56	,1	,1991-01-01T00:00:00Z	,pp. 66-75	,Society for American Archaeology	,fla	,	,
10.2307/277531,10.2307/277531	,A Paleo-Indian Bison-Kill in Northwestern Iowa	,George A. Agogino	W. D. Frankforter	,American Antiquity	,25	,3	,1960-01-01T00:00:00Z	,pp. 414-415	,Society for American Archaeology	,fla	,	,
10.2307/279189,10.2307/279189	,Routes: Alternate Migration Corridors for Early Man in North America	,K. R. Fladmark	,American Antiquity	,44	,1	,1979-01-01T00:00:00Z	,pp. 55-69	,Society for American Archaeology	,fla	,	,
10.2307/279366,10.2307/279366	,Trilobal Eccentrics at Teotihuacan and Tula	,Terrance L. Stocker	Michael W. Spence	,American Antiquity	,38	,2	,1973-04-01T00:00:00Z	,pp. 195-199	,Society for American Archaeology	,fla	,	,
10.2307/2694671,10.2307/2694671	,Revised Dates for Navajo Hogans Near Canyon de Chelly	,David M. Brugge	,American Antiquity	,32	,3	,1967-07-01T00:00:00Z	,pp. 396-398	,Society for American Archaeology	,fla	,	,
10.2307/275454,10.2307/275454	,An Account of Some Recent Excavations at Seba_ British Guiana	,J. E. L. Carter	,American Antiquity	,9	,1	,1943-07-01T00:00:00Z	,pp. 89-99	,Society for American Archaeology	,fla	,	,
10.2307/275777,10.2307/275777	,A Reconnaissance	,David Banks Rogers	,American Antiquity	,3	,2	,1937-10-01T00:00:00Z	,pp. 184-186	,Society for American Archaeology	,fla	,	,
10.2307/2694000,10.2307/2694000	,Lithic Technology Conference_ Les Eyzies_ France	,Arthur J. Jelinek	,American Antiquity	,31	,2	,1965-10-01T00:00:00Z	,pp. 277-279	,Society for American Archaeology	,fla	,	,
10.2307/276416,10.2307/276416	,The Ash Coulee Site	,William Mulloy	,American Antiquity	,19	,1	,1953-07-01T00:00:00Z	,pp. 73-75	,Society for American Archaeology	,fla	,	,
10.2307/281022,10.2307/281022	,Stable Carbon- and Nitrogen-Isotope Ratios of Bone Collagen Used to Study Coral-Reef and Terrestrial Components of Prehistoric Bahamian Diet	,William F. Keegan	Michael J. DeNiro	,American Antiquity	,53	,2	,1988-04-01T00:00:00Z	,pp. 320-336	,Society for American Archaeology	,fla	,	,
10.2307/277950,10.2307/277950	,Birch-Bark Scrolls in Archaeological Contexts	,Kenneth E. Kidd	,American Antiquity	,30	,4	,1965-04-01T00:00:00Z	,pp. 480-483	,Society for American Archaeology	,fla	,	,
10.2307/280568,10.2307/280568	,Pathologies Relative to Subsistence and Settlement at Casas Grandes	,Robert S. Corruccini	,American Antiquity	,48	,3	,1983-07-01T00:00:00Z	,pp. 609-610	,Society for American Archaeology	,fla	,	,
10.2307/278561,10.2307/278561	,Archaeological Materials from the Chukchi Peninsula	,N. N. Dikov	Chester S. Chard	James B. Griffin	,American Antiquity	,28	,4	,1963-04-01T00:00:00Z	,pp. 529-536	,Society for American Archaeology	,fla	,	,
10.2307/281756,10.2307/281756	,Observations regarding Chartkoff's California "Rock Feature Complex"	,Stephen C. Jett	,American Antiquity	,51	,3	,1986-07-01T00:00:00Z	,pp. 615-616	,Society for American Archaeology	,fla	,	,
10.2307/2694778,10.2307/2694778	,Cluster Analysis of Paleofecal Data Sets: A Test of Late Prehistoric Settlement and Subsistence Patterns in the Northern Coachella Valley_ California	,Mark Q. Sutton	,American Antiquity	,63	,1	,1998-01-01T00:00:00Z	,pp. 86-107	,Society for American Archaeology	,fla	,	,
10.2307/278645,10.2307/278645	,The Skulls from Torrington_ Wyoming: A Re-Evaluation	,George A. Agogino	Eugene Galloway	,American Antiquity	,29	,1	,1963-07-01T00:00:00Z	,pp. 106-109	,Society for American Archaeology	,fla	,	,
10.2307/277627,10.2307/277627	,Recent Radiocarbon Dates for Central and Southern Brazil	,Wesley R. Hurt	,American Antiquity	,30	,1	,1964-07-01T00:00:00Z	,pp. 25-33	,Society for American Archaeology	,fla	,	,
10.2307/280454,10.2307/280454	,Precise Characterization of Guatemalan Obsidian Sources_ and Source Determination of Artifacts from Quirigua	,Fred H. Stross	Payson Sheets	Frank Asaro	Helen V. Michel	,American Antiquity	,48	,2	,1983-04-01T00:00:00Z	,pp. 323-346	,Society for American Archaeology	,fla	,	,
10.2307/275199,10.2307/275199	,Evidence for the Antiquity of Scalping from Central Illinois	,Georg K. Neumann	,American Antiquity	,5	,4	,1940-04-01T00:00:00Z	,pp. 287-289	,Society for American Archaeology	,fla	,	,
10.2307/275100,10.2307/275100	,Two New Specimens from Ohio	,H. Holmes Ellis	,American Antiquity	,9	,4	,1944-04-01T00:00:00Z	,p. 449	,Society for American Archaeology	,fla	,	,
10.2307/278369,10.2307/278369	,Worsaae's Law and the Use of Grave Lots for Archaeological Dating	,John Howland Rowe	,American Antiquity	,28	,2	,1962-10-01T00:00:00Z	,pp. 129-137	,Society for American Archaeology	,fla	,	,
10.2307/282165,10.2307/282165	,Production of San Juan Red Ware in the Northern Southwest: Insights into Regional Interaction in Early Puebloan Prehistory	,Michelle Hegmon	James R. Allison	Hector Neff	Michael D. Glascock	,American Antiquity	,62	,3	,1997-07-01T00:00:00Z	,pp. 449-463	,Society for American Archaeology	,fla	,	,
10.2307/276600,10.2307/276600	,The Little Harbor Site_ Catalina Island: An Example of Ecological Interpretation in Archaeology	,Clement W. Meighan	,American Antiquity	,24	,4	,1959-04-01T00:00:00Z	,pp. 383-405	,Society for American Archaeology	,fla	,	,
10.2307/280048,10.2307/280048	,Errata: Precise Characterization of Guatemalan Obsidian Sources_ and Source Determination of Artifacts from Quirigua	,	,American Antiquity	,49	,2	,1984-04-01T00:00:00Z	,p. 448	,Society for American Archaeology	,fla	,	,
10.2307/277006,10.2307/277006	,Natural Burial of Artifacts	,Eugene F. Dietz	,American Antiquity	,20	,3	,1955-01-01T00:00:00Z	,pp. 273-274	,Society for American Archaeology	,fla	,	,
10.2307/279947,10.2307/279947	,A Late Paleoindian Animal Trapping Net from Northern Wyoming	,George C. Frison	R. L. Andrews	J. M. Adovasio	R. C. Carlisle	Robert Edgar	,American Antiquity	,51	,2	,1986-04-01T00:00:00Z	,pp. 352-361	,Society for American Archaeology	,fla	,	,
10.2307/280120,10.2307/280120	,The Upper Paleolithic. However It Got Here_ It's Here: (Can the Middle Paleolithic Be far behind?)	,John L. Cotter	,American Antiquity	,46	,4	,1981-10-01T00:00:00Z	,pp. 926-928	,Society for American Archaeology	,fla	,	,
10.2307/280052,10.2307/280052	,Heuristic Approaches to Spatial Analysis in Archaeology	,Keith W. Kintigh	Albert J. Ammerman	,American Antiquity	,47	,1	,1982-01-01T00:00:00Z	,pp. 31-63	,Society for American Archaeology	,fla	,	,
10.2307/275741,10.2307/275741	,Mastodon Bone with Artifacts in California	,Don E. Crabtree	,American Antiquity	,5	,2	,1939-10-01T00:00:00Z	,pp. 148-149	,Society for American Archaeology	,fla	,	,
10.2307/281658,10.2307/281658	,On the Macroscopic Identification of Used Flakes	,Donald Young	Douglas B. Bamforth	,American Antiquity	,55	,2	,1990-04-01T00:00:00Z	,pp. 403-409	,Society for American Archaeology	,fla	,	,
10.2307/282172,10.2307/282172	,Reply to Dincauze	,Donald Chrisman	Richard S. MacNeish	Geoffrey Cunnar	,American Antiquity	,62	,3	,1997-07-01T00:00:00Z	,pp. 556-558	,Society for American Archaeology	,fla	,	,
10.2307/281159,10.2307/281159	,Archaeological Investigations in the Choctaw Homeland	,Jerome A. Voss	John H. Blitz	,American Antiquity	,53	,1	,1988-01-01T00:00:00Z	,pp. 125-145	,Society for American Archaeology	,fla	,	,
10.2307/25470436,10.2307/25470436	,Inference to the Best Explanation: A Common and Effective Form of Archaeological Reasoning	,Lars Fogelin	,American Antiquity	,72	,4	,2007-10-01T00:00:00Z	,pp. 603-625	,Society for American Archaeology	,fla	,	,
10.2307/278347,10.2307/278347	,The Botanical Identification of Archaeological Cotton	,S. G. Stephens	,American Antiquity	,35	,3	,1970-07-01T00:00:00Z	,pp. 367-373	,Society for American Archaeology	,fla	,	,
10.2307/279913,10.2307/279913	,Maximizing Clarity in Economic Terminology	,Andrew L. Christenson	,American Antiquity	,47	,2	,1982-04-01T00:00:00Z	,pp. 419-426	,Society for American Archaeology	,fla	,	,
10.2307/276562,10.2307/276562	,A Stratigraphic Trench at Sitio Conte_ Panama	,John Ladd	,American Antiquity	,22	,3	,1957-01-01T00:00:00Z	,pp. 265-271	,Society for American Archaeology	,fla	,	,
10.2307/279047,10.2307/279047	,The Dogs of Awatovi	,Stanley J. Olsen	,American Antiquity	,41	,1	,1976-01-01T00:00:00Z	,pp. 102-106	,Society for American Archaeology	,fla	,	,
10.2307/279956,10.2307/279956	,A Note on Frequencies_ Proportions and Diversity: A Response to Cannon	,Steven A. Rosen	,American Antiquity	,51	,2	,1986-04-01T00:00:00Z	,pp. 409-411	,Society for American Archaeology	,fla	,	,
