WORDCOUNTS,WEIGHT
the,27
and,26
to,18
of,15
a,14
in,12
no,9
from,7
site,7
would,6
as,6
new,6
iowa,6
by,5
system,5
vol,5
is,5
be,5
british,4
have,4
american,4
numbers,3
changing,3
heizer,3
conversion,3
archaeological,3
york,3
change,3
has,3
america,3
maya,3
such,3
on,3
for,3
which,3
do,3
we,3
university,2
f,2
it,2
this,2
he,2
t,2
if,2
published,2
that,2
hawaii,2
instead,2
salt,2
alphabetical,2
suggested,2
yucatan,2
an,2
states,2
mexico,2
use,2
assigned,2
information,2
olmec,2
designation,2
area,2
still,2
plan,2
all,2
middle,2
puebla,2
are,2
problem,2
other,2
abstract,2
county,2
trinominal,2
lake,2
city,2
p,2
museum,2
printed,2
reference,2
pp,2
additions,2
i,2
recent,2
central,2
v,2
alaska,2
were,2
major,2
proposed,2
become,1
k,1
mixteca,1
needed,1
shifts,1
will,1
add,1
incised,1
trustees,1
england,1
existing,1
care,1
known,1
w,1
el,1
miss,1
explorations,1
lands,1
polychrome,1
neither,1
abbreviation,1
there,1
units,1
making,1
descriptions,1
mask,1
said,1
minor,1
first,1
at,1
note,1
de,1
g,1
record,1
washington,1
territorial,1
archaeologists,1
without,1
discrepancy,1
maps,1
intact,1
alfred,1
prefaced,1
adrian,1
sketch,1
his,1
useful,1
alphabetically,1
peninsula,1
deserves,1
proposes,1
catalog,1
general,1
been,1
keep,1
ern,1
they,1
acknowledgments,1
hide,1
more,1
also,1
number,1
followed,1
permanent,1
pottery,1
mckusick,1
shifted,1
reasonable,1
abbreviations,1
indian,1
vague,1
institute,1
unit,1
simpler,1
originally,1
venta,1
cover,1
sites,1
order,1
retain,1
design,1
gained,1
substitution,1
archaeology,1
flannery,1
moder,1
designations,1
illicit,1
some,1
designates,1
could,1
l,1
institutions,1
shift,1
digit,1
matching,1
conform,1
added,1
nor,1
art,1
illustrate,1
make,1
forms,1
reply,1
had,1
nature,1
crossing,1
publish,1
suggests,1
cambridge,1
thus,1
cataloged,1
fact,1
group,1
their,1
state,1
digby,1
obsolete,1
smithsonian,1
exploration,1
antiquity,1
fig,1
trying,1
styles,1
gann,1
entail,1
unless,1
leaves,1
laboratory,1
third,1
surveys,1
found,1
london,1
basin,1
adventure,1
previously,1
clerical,1
confusion,1
moser,1
mr,1
see,1
not,1
retyping,1
ambiguity,1
jades,1
sets,1
its,1
out,1
elizabeth,1
designating,1
permission,1
up,1
simply,1
letter,1
citation,1
country,1
trivial,1
accession,1
honduras,1
carnegie,1
take,1
photographs,1
cities,1
indebted,1
harold,1
institution,1
vendor,1
north,1
notes,1
ia,1
records,1
peten,1
alternative,1
so,1
now,1
us,1
should,1
necessitating,1
river,1
established,1
specimens,1
or,1
ancient,1
m,1
marshall,1
slips,1
am,1
la,1
enough,1
box,1
chris,1
further,1
arte,1
others,1
throughout,1
unchanged,1
any,1
ordered,1
robert,1
guatemala,1
adventures,1
cuadernos,1
than,1
california,1
