id,doi,title,author,journaltitle,volume,issue,pubdate,pagerange,publisher,type,reviewed-work
10.2307/530329,10.2307/530329	,Back Matter	,	,Journal of Field Archaeology	,22	,2	,1995-07-01T00:00:00Z	,p. 262	,Maney Publishing	,mis	,	,
10.2307/530511,10.2307/530511	,Back Matter	,	,Journal of Field Archaeology	,23	,2	,1996-07-01T00:00:00Z	,	,Maney Publishing	,mis	,	,
10.2307/529410,10.2307/529410	,Statistical Fact and Archaeological Faith: Two Models in Small-Sites Sampling	,Jack D. Nance	,Journal of Field Archaeology	,8	,2	,1981-07-01T00:00:00Z	,pp. 151-165	,Maney Publishing	,fla	,	,
10.2307/40025554,10.2307/40025554	,	,James Symonds	,Journal of Field Archaeology	,32	,3	,2007-10-01T00:00:00Z	,pp. 335-338	,Maney Publishing	,brv	,The Archaeology of Liberty in an American Capital: Excavations in Annapolis|Mark P. Leone	,
10.2307/529455,10.2307/529455	,Preservation and Rescue	,Thomas F. King	,Journal of Field Archaeology	,5	,2	,1978-07-01T00:00:00Z	,pp. 237-238	,Maney Publishing	,fla	,	,
10.2307/530336,10.2307/530336	,Publications	,	,Journal of Field Archaeology	,21	,3	,1994-10-01T00:00:00Z	,pp. 351-356	,Maney Publishing	,mis	,	,
10.2307/529807,10.2307/529807	,Abu Salem: Type Site of the Harifian Industry of the Southern Levant	,Anthony E. Marks	Thomas R. Scott	,Journal of Field Archaeology	,3	,1	,1976-01-01T00:00:00Z	,pp. 43-60	,Maney Publishing	,fla	,	,
10.2307/529977,10.2307/529977	,The Character of Surface Archaeological Deposits and Its Influence on Survey Accuracy	,LuAnn Wandsnider	Eileen L. Camilli	,Journal of Field Archaeology	,19	,2	,1992-07-01T00:00:00Z	,pp. 169-188	,Maney Publishing	,fla	,	,
10.2307/530561,10.2307/530561	,The Making of Combe-Capelle on CD-ROM	,Harold L. Dibble	Shannon P. McPherron	,Journal of Field Archaeology	,24	,1	,1997-04-01T00:00:00Z	,pp. 59-66	,Maney Publishing	,fla	,	,
10.2307/529953,10.2307/529953	,A Handaxe from Kokkinopilos_ Epirus_ and Its Implications for the Paleolithic of Greece	,Curtis Runnels	Tjeerd H. van Andel	,Journal of Field Archaeology	,20	,2	,1993-07-01T00:00:00Z	,pp. 191-203	,Maney Publishing	,fla	,	,
10.2307/530310,10.2307/530310	,Small Community Organization during the Late Formative Period in Oaxaca_ Mexico	,Michael E. Whalen	,Journal of Field Archaeology	,15	,3	,1988-10-01T00:00:00Z	,pp. 291-306	,Maney Publishing	,fla	,	,
10.2307/530531,10.2307/530531	,Front Matter	,	,Journal of Field Archaeology	,25	,3	,1998-10-01T00:00:00Z	,pp. 260-356	,Maney Publishing	,mis	,	,
10.2307/529498,10.2307/529498	,Funeral Archaeology and Avar Culture: Old Excavations Yield Serial Data	,Bailey K. Young	,Journal of Field Archaeology	,5	,4	,1978-12-01T00:00:00Z	,pp. 471-477	,Maney Publishing	,brv	,Cemeteries of the Avar Period (567-829) in Hungary|I. Kovrig;E. Garam;A. Kiss;J. Gy. Szabó;Gy. Török	,
10.2307/3181455,10.2307/3181455	,Front Matter	,	,Journal of Field Archaeology	,28	,1/2	,2001-04-01T00:00:00Z	,pp. 26-204	,Maney Publishing	,mis	,	,
10.2307/530061,10.2307/530061	,	,Albert J. Ammerman	,Journal of Field Archaeology	,20	,3	,1993-10-01T00:00:00Z	,pp. 367-372	,Maney Publishing	,brv	,Landscape Archaeology as Long-Term History: Northern Keos in the Cycladic Islands|J. F. Cherry;J. L. Davis;E. Mantzourani	,
10.2307/530050,10.2307/530050	,Back Matter	,	,Journal of Field Archaeology	,15	,4	,1988-12-01T00:00:00Z	,pp. 484-490	,Maney Publishing	,mis	,	,
10.2307/40024962,10.2307/40024962	,	,John W. Hoopes	,Journal of Field Archaeology	,31	,2	,2006-07-01T00:00:00Z	,pp. 217-219	,Maney Publishing	,brv	,K'axob: Ritual_ Work_ and Family in an Ancient Maya Village|Patricia A. McAnany	,
10.2307/530410,10.2307/530410	,Introduction	,	,Journal of Field Archaeology	,18	,4	,1991-12-01T00:00:00Z	,pp. 495-496	,Maney Publishing	,mis	,	,
10.2307/530013,10.2307/530013	,	,Georgina Herrmann	,Journal of Field Archaeology	,17	,4	,1990-12-01T00:00:00Z	,pp. 488-490	,Maney Publishing	,brv	,Bronze and Iron: Ancient near Eastern Artifacts in the Metropolitan Museum of Art|Oscar White Muscarella	,
10.2307/529628,10.2307/529628	,Perspectives	,Julian H. Whittlesey	,Journal of Field Archaeology	,2	,1/2	,1975-01-01T00:00:00Z	,p. 180	,Maney Publishing	,fla	,	,
10.2307/529879,10.2307/529879	,Extensive Sherd Scatters and Land-Use Intensity: Some Recent Results	,T. J. Wilkinson	,Journal of Field Archaeology	,16	,1	,1989-04-01T00:00:00Z	,pp. 31-46	,Maney Publishing	,fla	,	,
10.2307/3250911,10.2307/3250911	,	,Patrick D. Lyons	,Journal of Field Archaeology	,29	,3/4	,2002-10-01T00:00:00Z	,pp. 486-494	,Maney Publishing	,brv	,Centuries of Decline during the Hohokam Classic Period at Pueblo Grande|David R. Abbott	,
10.2307/530503,10.2307/530503	,The Archaeology of Wine: The Wine and Brandy Haciendas of Moquegua_ Peru	,Prudence M. Rice	,Journal of Field Archaeology	,23	,2	,1996-07-01T00:00:00Z	,pp. 187-204	,Maney Publishing	,fla	,	,
10.2307/529657,10.2307/529657	,Recent Research on the Upper Palaeolithic Phase in India	,M. L. K. Murty	,Journal of Field Archaeology	,6	,3	,1979-10-01T00:00:00Z	,pp. 301-320	,Maney Publishing	,fla	,	,
10.2307/530405,10.2307/530405	,Netiv Hagdud: An Early Neolithic Village Site in the Jordan Valley	,Ofer Bar-Yosef	Avi Gopher	Eitan Tchernov	Mordechai E. Kislev	,Journal of Field Archaeology	,18	,4	,1991-12-01T00:00:00Z	,pp. 405-424	,Maney Publishing	,fla	,	,
10.2307/529494,10.2307/529494	,Computer Use in Pottery Studies at Aphrodisias	,Martha Joukowsky	,Journal of Field Archaeology	,5	,4	,1978-12-01T00:00:00Z	,pp. 431-442	,Maney Publishing	,fla	,	,
10.2307/3250893,10.2307/3250893	,Submerged Paleoindian and Archaic Sites of the Big Bend_ Florida	,Michael K. Faught	,Journal of Field Archaeology	,29	,3/4	,2002-10-01T00:00:00Z	,pp. 273-290	,Maney Publishing	,fla	,	,
10.2307/530187,10.2307/530187	,Back Matter	,	,Journal of Field Archaeology	,22	,3	,1995-10-01T00:00:00Z	,pp. 388-390	,Maney Publishing	,mis	,	,
10.2307/529843,10.2307/529843	,News and Short Contributions	,Kostas Kotsakis	Anthony P. Andrews	Frank Asaro	Helen V. Michel	Fred H. Stross	Pura Cerrera Rivero	Thomas H. Guderjan	James F. Garber	Herman A. Smith	,Journal of Field Archaeology	,16	,3	,1989-10-01T00:00:00Z	,pp. 355-376	,Maney Publishing	,fla	,	,
10.2307/530156,10.2307/530156	,	,Lewis R. Binford	,Journal of Field Archaeology	,18	,1	,1991-04-01T00:00:00Z	,pp. 111-115	,Maney Publishing	,brv	,The Human Revolution: Behavioural and Biological Perspectives on the Origins of Modern Humans|Paul Mellars;Chris Stringer	,
10.2307/530479,10.2307/530479	,	,Richard H. Wilshusen	,Journal of Field Archaeology	,24	,2	,1997-07-01T00:00:00Z	,pp. 260-262	,Maney Publishing	,brv	,Archaeological Investigations at the Loma Sandia Site (41LK28): A Prehistoric Cemetery and Campsite in Live Oak County_ Texas|Anna Jean Taylor;Cheryl Lynn Highley	,
10.2307/530107,10.2307/530107	,	,Eliza McClennen	,Journal of Field Archaeology	,21	,4	,1994-12-01T00:00:00Z	,pp. 516-520	,Maney Publishing	,brv	,Mapping It Out. Expository Cartography for the Humanities and Social Sciences|Mark Monmonier	,
10.2307/529899,10.2307/529899	,Architecture and Chronology at El Paraíso_ Peru	,Jeffrey Quilter	,Journal of Field Archaeology	,12	,3	,1985-10-01T00:00:00Z	,pp. 279-297	,Maney Publishing	,fla	,	,
10.2307/40023501,10.2307/40023501	,	,Kathleen Deagan	,Journal of Field Archaeology	,31	,3	,2006-10-01T00:00:00Z	,pp. 338-340	,Maney Publishing	,brv	,The Archaeology of Colonial Encounters: Comparative Perspectives|Gil J. Stein	,
10.2307/529581,10.2307/529581	,Canadian Excavations at Carthage_ 1976 and 1978: The Theodosian Wall_ Northern Sector	,C. M. Wells	E. M. Wightman	,Journal of Field Archaeology	,7	,1	,1980-04-01T00:00:00Z	,pp. 43-63	,Maney Publishing	,fla	,	,
10.2307/529476,10.2307/529476	,Radiographic Analysis of Temper in Ceramic Vessels: Goals and Initial Methods	,David P. Braun	,Journal of Field Archaeology	,9	,2	,1982-07-01T00:00:00Z	,pp. 183-192	,Maney Publishing	,fla	,	,
10.2307/529745,10.2307/529745	,The Prehistory of NW Argentina: The Calchaquí Valley Project_ 1977-1981	,Gordon C. Pollard	,Journal of Field Archaeology	,10	,1	,1983-04-01T00:00:00Z	,pp. 11-32	,Maney Publishing	,fla	,	,
10.2307/40026050,10.2307/40026050	,	,Karen G. Harry	,Journal of Field Archaeology	,32	,1	,2007-04-01T00:00:00Z	,pp. 106-108	,Maney Publishing	,brv	,The Archaeology of Chaco Canyon: An Eleventh Century Pueblo Regional Center|Stephen H. Lekson	,
10.2307/3092730,10.2307/3092730	,Back Matter	,	,Journal of Field Archaeology	,27	,4	,2000-12-01T00:00:00Z	,	,Maney Publishing	,mis	,	,
