WORDCOUNTS,WEIGHT
the,195
and,191
of,136
in,70
a,36
to,31
isbn,31
archaeological,31
index,29
black,29
white,29
this,28
for,24
on,23
by,20
from,19
paper,19
no,18
press,17
is,14
studies,13
university,13
sites,13
book,12
at,11
with,11
volume,11
are,11
archaeology,11
as,10
that,10
new,10
cloth,10
an,10
research,10
materials,9
art,9
these,9
southern,8
rock,8
editors,8
united,7
publications,7
gender,7
which,7
states,7
identification,6
how,6
site,6
analysis,6
prehistory,6
archaeologists,6
material,6
including,6
de,6
editor,6
have,6
it,5
l,5
contributions,5
sheffield,5
during,5
into,5
prehistoric,5
historical,5
present,5
papers,5
range,5
authors,5
author,5
field,5
provides,5
results,5
tests,4
he,4
what,4
science,4
altamira,4
practical,4
archetype,4
their,4
modern,4
general,4
peoples,4
walnut,4
j,4
within,4
future,4
used,4
both,4
desert,4
description,4
human,4
chapters,4
surface,4
david,4
period,4
plant,4
remains,4
academic,4
egypt,4
texas,4
xvi,4
be,4
early,4
practice,4
northern,4
gravettian,3
africa,3
scientific,3
anatomical,3
groups,3
landscape,3
e,3
they,3
landscapes,3
american,3
aurignacian,3
ix,3
life,3
methods,3
guide,3
approaches,3
case,3
kluwer,3
palaeoecological,3
key,3
was,3
history,3
presents,3
xi,3
also,3
taxa,3
characteristics,3
jon,3
provide,3
sciences,3
heritage,3
europe,3
each,3
exploration,3
areas,3
current,3
out,3
john,3
survey,3
urban,3
monographs,3
cultural,3
wide,3
maya,3
institute,3
who,3
x,3
training,3
publishers,3
use,3
discussions,3
artifact,3
comprehensive,3
earth,3
clay,3
register,3
excavated,3
excavations,3
price,3
century,3
developments,3
k,3
through,3
greece,3
images,3
should,3
evidence,3
pottery,3
roles,3
examines,3
european,2
where,2
highlights,2
san,2
m,2
ecological,2
created,2
order,2
islands,2
primarily,2
detailed,2
carson,2
mesoamerica,2
population,2
study,2
cave,2
mobility,2
illustrations,2
values,2
paleolithic,2
memphis,2
ways,2
interpretation,2
museum,2
projects,2
conservation,2
parenchymous,2
addressed,2
ne,2
objects,2
established,2
or,2
management,2
included,2
mcdonald,2
edition,2
amarna,2
monograph,2
series,2
age,2
most,2
different,2
test,2
first,2
lithic,2
t,2
social,2
undertaken,2
utah,2
middle,2
questions,2
sections,2
power,2
important,2
suggested,2
postglacial,2
uses,2
based,2
s,2
other,2
xii,2
assess,2
together,2
color,2
intended,2
scott,2
maneuver,2
daily,2
xiii,2
contemporary,2
kingdom,2
such,2
