WORDCOUNTS,WEIGHT
the,1254
and,891
of,715
in,611
a,305
woodland,219
to,213
that,212
mississippian,170
pp,148
p,140
at,119
late,115
from,114
j,113
for,113
as,100
have,100
middle,98
american,97
ohio,96
with,91
illinois,91
were,89
or,84
d,81
was,79
been,77
are,76
r,75
on,74
north,67
these,66
hopewell,65
valley,65
by,62
university,61
w,61
m,61
prehistoric,61
sites,59
settlement,59
early,59
site,58
archaeology,57
an,57
is,57
cahokia,57
between,55
cultural,54
bp,52
midwest,52
not,51
but,50
state,49
archaeological,49
archaic,49
ad,48
midwestern,47
this,47
may,46
there,45
mound,45
b,45
period,45
central,44
southern,44
culture,43
ancient,42
e,41
eastern,41
complexes,41
america,39
northern,39
mounds,39
than,38
more,38
center,36
l,36
found,36
western,35
fort,35
river,35
upper,35
some,34
traditions,34
new,33
complex,32
they,31
t,31
mississippi,31
bottom,31
societies,31
social,31
groups,30
other,30
populations,30
patterns,30
burial,29
subsistence,29
has,29
area,29
c,29
it,28
et,28
tradition,27
g,27
evidence,27
lower,26
yerkes,26
hopewellian,26
local,26
be,26
great,25
n,25
museum,25
h,24
all,24
s,24
havana,24
their,24
population,24
during,24
research,24
wisconsin,24
large,23
phase,23
lakes,23
k,23
regional,23
pattern,23
adena,23
developed,22
most,22
artifacts,22
paper,22
cultures,22
maize,21
such,21
fig,21
no,21
interaction,21
system,20
where,20
would,20
within,19
effigy,19
archaeologist,19
into,18
changes,18
basin,18
time,18
indiana,18
lake,18
northwestern,18
southeastern,18
development,17
phases,17
after,17
had,17
ceremonial,17
two,17
also,17
many,17
region,17
represent,16
papers,16
prehistory,16
used,16
emergent,16
chicago,16
kent,15
woodlands,15
west,15
academic,15
ceramics,15
wabash,15
structures,15
small,15
located,15
food,15
exchange,15
elaborate,15
over,15
anthropology,15
while,15
history,14
journal,14
change,14
south,14
ceramic,14
probably,14
antiquity,14
presented,14
stone,13
along,13
developments,13
study,13
organization,13
suggested,13
pottery,13
annual,13
when,13
activities,13
society,13
he,13
about,13
historic,13
structure,13
who,13
united,13
each,13
historical,13
production,12
occasional,12
emergence,12
stoltman,12
missouri,12
traits,12
few,12
minnesota,12
flint,12
trade,12
systems,12
known,12
cultivation,12
both,12
mortuary,11
sphere,11
domestic,11
rather,11
out,11
believes,11
regions,11
around,11
villages,11
led,11
oneota,11
only,11
angel,11
variation,11
number,11
which,11
associated,11
goods,11
phd,11
copper,11
little,11
red,10
studies,10
agriculture,10
vol,10
village,10
jr,10
york,10
similar,10
centers,10
glacial,10
suggest,10
community,10
exotic,10
orchard,10
analysis,10
anthropological,10
series,10
crab,10
report,10
camps,10
range,10
among,10
authority,9
date,9
kame,9
holocene,9
since,9
review,9
southwestern,9
stothers,9
houses,9
house,9
sedentary,9
near,9
ontario,9
artifact,9
several,9
contact,9
x,9
economic,9
reports,9
areas,9
larger,9
made,9
platform,9
three,9
chillicothe,9
temporal,9
seem,9
did,9
them,9
agricultural,9
distribution,9
much,9
materials,9
states,9
group,8
settlements,8
one,8
seems,8
survey,8
political,8
ritual,8
exposed,8
spoon,8
excavations,8
served,8
even,8
influence,8
shell,8
specialization,8
argued,8
chipped,8
circular,8
michigan,8
wide,8
well,8
data,8
climatic,8
people,8
scientific,8
rectangular,8
department,8
valleys,8
including,8
kincaid,8
significant,8
described,8
bulletin,8
construction,8
types,8
aboriginal,8
forest,8
complexity,8
constructed,8
until,8
point,8
archaeologists,7
i,7
those,7
hall,7
bay,7
dates,7
storage,7
cult,7
called,7
initial,7
base,7
part,7
muller,7
level,7
involved,7
climate,7
f,7
continuity,7
grave,7
less,7
native,7
years,7
assemblages,7
increase,7
contacts,7
use,7
rivers,7
interpretations,7
present,7
tennessee,7
forests,7
springfield,7
dispersed,7
griffin,7
different,7
distinctive,7
beginning,7
economy,7
form,7
include,7
shift,7
increased,7
o,6
maumee,6
if,6
iowa,6
introduction,6
practices,6
implications,6
origin,6
vegetation,6
cemeteries,6
robert,6
investigations,6
vincennes,6
resources,6
transitional,6
kelly,6
arbor,6
dated,6
northeastern,6
four,6
appear,6
based,6
its,6
limited,6
single,6
communities,6
columbus,6
included,6
noted,6
nucleated,6
model,6
see,6
material,6
scioto,6
elite,6
mississippians,6
points,6
summer,6
plant,6
features,6
theocratic,6
ann,6
james,6
often,6
dead,6
interpretive,6
extensive,6
carbondale,6
plants,6
seasonal,6
size,6
conditions,6
although,6
define,6
green,6
tribes,6
major,6
does,5
characterized,5
occurred,5
territorial,5
first,5
available,5
context,5
case,5
plain,5
east,5
marked,5
establishment,5
centralized,5
cucurbits,5
ment,5
recognized,5
his,5
special,5
burials,5
established,5
jars,5
resource,5
lithic,5
followed,5
struever,5
raw,5
could,5
further,5
residential,5
sedentism,5
tool,5
ocher,5
winter,5
baumer,5
excavated,5
habitation,5
smithsonian,5
pits,5
decline,5
boundaries,5
yankeetown,5
st,5
settle,5
variety,5
expansion,5
still,5
southeast,5
same,5
indian,5
monks,5
bluff,5
considerable,5
honor,5
do,5
ground,5
wood,5
divided,5
john,5
formal,5
aztalan,5
persisted,5
evolution,5
radiocarbon,5
explorations,5
clear,5
urbana,5
taxonomic,5
craft,5
occupied,5
continued,5
markers,5
life,5
any,5
natural,5
migration,5
post,5
believed,5
what,5
interval,5
conference,5
reported,5
city,5
grown,5
smaller,5
earthen,5
assumed,5
earthworks,5
meeting,5
household,5
difficult,4
way,4
postmolds,4
stylistic,4
environmental,4
replaced,4
true,4
source,4
taken,4
concentrated,4
differences,4
seeman,4
mills,4
hunting,4
goodall,4
activity,4
throughout,4
clay,4
sp,4
century,4
estimates,4
times,4
publications,4
hoes,4
kentucky,4
without,4
growth,4
main,4
environments,4
certain,4
plaza,4
intensive,4
peninsula,4
charcoal,4
appearance,4
diet,4
term,4
braun,4
handbook,4
viewed,4
produced,4
can,4
aspects,4
work,4
gatherers,4
bc,4
interregional,4
excavation,4
up,4
triangular,4
periods,4
san,4
laurel,4
dickson,4
koster,4
dwellings,4
religious,4
com,4
chililicothe,4
chronology,4
paul,4
oval,4
smith,4
cultivated,4
murphy,4
covered,4
differentiation,4
able,4
examples,4
david,4
plains,4
allowed,4
like,4
black,4
outside,4
influences,4
hunters,4
develop,4
kaskaskia,4
science,4
florence,4
began,4
quite,4
erie,4
milwaukee,4
very,4
domesticated,4
proceedings,4
transition,4
domesticates,4
discussion,4
indians,4
terminal,4
wild,4
land,4
developmental,4
heartland,4
carbon,4
debate,4
recent,4
zones,4
showed,4
samples,3
common,3
emerson,3
resulted,3
deciduous,3
mouth,3
esch,3
mackinac,3
essays,3
notched,3
test,3
diffusion,3
round,3
sources,3
chenopodium,3
accompanied,3
atlantic,3
concepts,3
posts,3
iii,3
behavioral,3
earlier,3
possible,3
sandusky,3
garden,3
charnel,3
human,3
conflict,3
saginaw,3
dynamics,3
surrounded,3
due,3
terraces,3
characteristic,3
mixed,3
adopted,3
riverton,3
drainage,3
items,3
amount,3
ha,3
columbia,3
radio,3
arranged,3
fowler,3
locales,3
poorly,3
ovoid,3
mentioned,3
town,3
absent,3
levels,3
process,3
winters,3
creek,3
distant,3
reason,3
straits,3
missis,3
bruce,3
observations,3
show,3
recovered,3
rice,3
exploitation,3
important,3
came,3
public,3
seven,3
lived,3
fishing,3
occupation,3
tools,3
dispersal,3
scale,3
lathrap,3
placed,3
pollen,3
explain,3
because,3
resident,3
douglas,3
residents,3
concept,3
example,3
apparent,3
tombs,3
related,3
indigenous,3
knight,3
indianapolis,3
documented,3
project,3
status,3
trends,3
attributed,3
foci,3
published,3
floodplain,3
chert,3
presence,3
spence,3
ochre,3
units,3
identified,3
short,3
nearly,3
saugeen,3
builders,3
incinerator,3
biological,3
interpretation,3
examined,3
represents,3
sociocultural,3
jo,3
lack,3
nokomis,3
toward,3
others,3
academy,3
towns,3
usually,3
lacked,3
longer,3
riverine,3
occupations,3
pacific,3
farming,3
end,3
diameter,3
pennsylvania,3
chiefdom,3
anthropologist,3
forms,3
adjacent,3
v,3
developing,3
style,3
assemblage,3
mill,3
demonstrated,3
kansas,3
extended,3
archaeo,3
chiefly,3
laboratory,3
floodplains,3
spread,3
high,3
obtained,3
ecology,3
least,3
why,3
graves,3
become,3
ago,3
sociopolitical,3
clusters,3
labras,3
european,3
kampsville,3
bureau,3
daviess,3
bowen,3
impressive,3
fewer,3
widespread,3
directions,3
fall,3
frontier,3
contained,3
following,3
mann,3
peoples,3
comes,3
vessel,3
quaternary,3
colonization,3
argue,3
basins,3
current,3
reflected,3
living,3
oliver,3
nearby,3
transaction,3
fully,3
periphery,3
require,3
migrations,3
reviewed,3
suggests,3
contain,3
earthwork,3
art,3
vessels,3
logical,3
through,3
phenomenon,3
world,3
prepared,3
webb,3
models,3
argues,3
seip,3
temperature,3
need,3
colleagues,3
remains,3
specific,3
cahokian,3
munson,3
focus,3
strong,3
technological,3
building,3
built,3
hypothesis,3
final,2
ments,2
now,2
later,2
tion,2
pittsburgh,2
skeletal,2
created,2
extend,2
uplands,2
pierce,2
resided,2
enclosing,2
titterington,2
becoming,2
mesoamerica,2
residences,2
offerings,2
ma,2
ms,2
conical,2
tempered,2
prentice,2
explanatory,2
laid,2
total,2
before,2
revision,2
annals,2
wapanucket,2
contexts,2
clair,2
predominantly,2
being,2
upland,2
cahokians,2
preceding,2
archae,2
caddoan,2
gritand,2
give,2
attempts,2
location,2
astronomical,2
advanced,2
experiments,2
nickerson,2
simple,2
farmers,2
bead,2
rich,2
studied,2
farnsworth,2
religion,2
carnegie,2
nuclear,2
styles,2
achieved,2
consist,2
migrated,2
remainder,2
situ,2
wilford,2
platforms,2
relations,2
robeson,2
con,2
takes,2
moisture,2
linear,2
autonomous,2
king,2
apple,2
licking,2
felt,2
howard,2
mental,2
asmus,2
boreal,2
economies,2
surplus,2
includes,2
pit,2
chiefs,2
differential,2
alignments,2
blades,2
bison,2
buckmeyer,2
de,2
relatively,2
adams,2
cases,2
concentrations,2
distinct,2
old,2
perspective,2
response,2
effective,2
border,2
understood,2
confluence,2
simultaneously,2
knife,2
hofman,2
precincts,2
individuals,2
camp,2
centered,2
district,2
mcgregor,2
basic,2
mean,2
grew,2
philadelphia,2
derived,2
direct,2
opposite,2
lobes,2
gathering,2
support,2
kuttruff,2
gardening,2
metropolis,2
possibly,2
objects,2
occupational,2
slowly,2
elsewhere,2
proposed,2
numbers,2
record,2
trempealeau,2
situations,2
commonly,2
biotic,2
beyond,2
undertaken,2
problems,2
permanent,2
lamotte,2
inhabited,2
molds,2
view,2
dc,2
union,2
greater,2
gorgets,2
result,2
sippian,2
lock,2
cole,2
hypsithermal,2
accompany,2
attained,2
big,2
density,2
midlands,2
neighboring,2
buried,2
earliest,2
appears,2
cannot,2
dwelling,2
hierarchies,2
woodhenge,2
tops,2
nine,2
cord,2
prominent,2
county,2
minority,2
year,2
bottomland,2
northwest,2
marietta,2
midsouth,2
birger,2
personal,2
reflect,2
floors,2
employed,2
interpreted,2
cults,2
quarterly,2
precipitation,2
responses,2
construct,2
successful,2
stage,2
indicators,2
long,2
chapalote,2
shapes,2
wider,2
strap,2
components,2
coast,2
core,2
seed,2
moist,2
dependent,2
using,2
cycle,2
structured,2
preliminary,2
postmold,2
gradual,2
waukesha,2
classic,2
tropical,2
harry,2
blending,2
ware,2
once,2
elaboration,2
lloyd,2
cleveland,2
ring,2
technology,2
mobile,2
falls,2
ed,2
hearth,2
assimilated,2
baby,2
functioned,2
ridged,2
volume,2
street,2
lewis,2
participated,2
stronger,2
mark,2
