WORDCOUNTS,WEIGHT
the,2292
of,1570
and,1306
in,872
to,636
a,570
fremont,478
that,317
as,290
is,268
with,222
from,205
by,201
for,188
be,184
at,182
farming,177
are,172
on,170
this,167
great,162
these,148
basin,137
utah,136
were,127
was,122
d,122
sites,119
foragers,119
salt,115
we,114
lake,113
not,112
or,111
may,108
it,106
an,100
university,99
j,98
but,97
have,96
some,91
archaeological,91
which,88
they,87
farmers,86
between,85
colorado,83
more,81
pp,80
r,79
p,77
there,75
complex,73
groups,70
papers,70
people,69
plateau,68
area,66
also,65
river,64
foraging,62
other,62
city,62
s,61
while,61
such,59
behavioral,59
been,59
than,58
madsen,56
anthropological,55
culture,54
bp,51
et,51
areas,51
simms,50
south,49
where,49
both,49
ceramics,48
found,47
among,47
into,46
along,46
cultural,46
m,46
north,46
anasazi,45
points,45
prehistoric,44
during,44
early,44
who,43
one,42
their,42
archaeology,42
use,42
adaptive,42
american,41
about,41
region,41
evidence,41
village,40
l,40
b,40
can,40
associated,40
eastern,39
across,39
period,39
western,38
late,38
northern,38
c,38
all,37
only,37
many,37
years,37
has,36
social,36
material,36
most,35
new,35
common,34
behavior,34
museum,34
southwest,34
population,33
same,33
maize,32
diversity,32
after,32
pottery,32
switching,32
archaic,32
those,31
within,31
uinta,31
k,31
time,31
patterns,31
spread,31
history,30
site,30
populations,30
anthropology,30
what,30
much,30
e,29
human,29
change,29
southern,29
number,29
tavaputs,29
series,29
peoples,29
west,28
central,28
no,28
well,28
its,28
rock,28
variation,28
terms,28
selection,27
structures,27
remains,27
does,26
since,26
had,26
based,26
part,26
when,26
model,26
see,26
made,26
options,26
transition,26
occur,26
southwestern,25
storage,25
journal,25
creek,25
because,25
research,25
do,25
cultures,25
them,25
variability,25
should,25
different,24
case,24
canyon,24
relatively,24
around,24
boundaries,24
would,24
suggests,24
even,23
traits,23
san,23
movement,23
suggest,23
through,23
our,23
large,22
cave,22
arrow,22
wild,22
h,21
agriculture,21
prehistory,21
record,21
adoption,21
small,21
likely,21
indigenous,21
demographic,21
local,21
food,21
probably,21
contexts,20
projectile,20
resources,20
rather,20
subsistence,20
fre,20
out,20
base,20
mobile,20
two,20
pattern,20
understanding,20
very,20
less,20
context,19
point,19
de,19
dates,19
study,19
appear,19
matrix,19
f,19
strategies,19
clear,19
features,19
analysis,19
over,19
if,18
mobility,18
mont,18
how,18
w,18
bow,18
boundary,18
nevada,18
forms,18
plains,18
any,18
variety,17
general,17
similar,17
concept,17
later,17
like,17
continued,17
east,17
did,17
art,17
re,17
ways,16
production,16
nature,16
rafael,16
excavations,16
form,16
young,16
residential,16
settlement,16
ceramic,16
larger,16
primarily,16
often,16
simply,16
numic,16
janetski,15
shelter,15
seems,15
genetic,15
granaries,15
throughout,15
pit,15
g,15
adopted,15
snake,15
northeastern,15
resource,15
view,15
possibility,15
apparent,15
either,15
presence,15
using,15
limited,15
array,15
under,15
others,15
behaviors,15
brigham,15
so,15
occupied,15
changes,15
types,15
here,15
product,15
basketmaker,15
defined,15
valley,15
first,14
wasatch,14
characteristic,14
times,14
term,14
regions,14
results,14
department,14
fluidity,14
talbot,14
migration,14
northwestern,14
com,14
symbiotic,14
way,13
linguistic,13
relationships,13
direct,13
n,13
shared,13
appears,13
used,13
work,13
approach,13
several,13
few,13
regional,13
useful,13
degree,13
largely,13
evolutionary,13
ago,13
known,13
sevier,13
paper,13
historical,13
national,13
define,13
interaction,13
mountains,12
group,12
studies,12
long,12
differences,12
investigations,12
con,12
far,12
fig,12
section,12
process,12
settled,12
problem,12
could,12
data,12
contrast,12
widely,12
steinaker,12
toward,12
another,12
range,12
bear,12
questions,12
radiocarbon,12
although,12
antiquity,12
changing,12
past,12
selected,12
agricultural,12
distribution,12
focus,12
recent,12
difficult,11
environmental,11
kinds,11
stone,11
occurred,11
variants,11
ii,11
definition,11
producing,11
hunting,11
state,11
date,11
distinct,11
perspective,11
produced,11
cannot,11
technical,11
away,11
project,11
return,11
perhaps,11
ecology,11
desert,11
historic,11
trait,11
must,11
defining,11
seem,11
current,11
whether,11
circumstances,11
isolated,11
shift,11
consistent,10
available,10
crops,10
together,10
temper,10
ad,10
symbiosis,10
clay,10
growth,10
swell,10
ex,10
berry,10
impact,10
bounded,10
patterning,10
still,10
competition,10
wetlands,10
present,10
operating,10
upon,10
geib,10
ethnic,10
characterized,10
earlier,10
least,10
tendency,10
farm,10
five,10
life,10
intensification,10
temporal,10
beginning,10
denouement,10
definitions,10
include,10
association,10
now,9
lower,9
problems,9
implications,9
continue,9
suggesting,9
promontory,9
america,9
move,9
horticultural,9
given,9
cases,9
pueblo,9
competitive,9
glen,9
higher,9
recognized,9
immigrant,9
just,9
