id,doi,title,author,journaltitle,volume,issue,pubdate,pagerange,publisher,type,reviewed-work
10.2307/124175,10.2307/124175	,Urbanism and the King in Ancient China	,K. C. Chang	,World Archaeology	,6	,1	,1974-06-01T00:00:00Z	,pp. 1-14	,Taylor & Francis_ Ltd.	,fla	,	,
10.2307/124777,10.2307/124777	,The Technique as a Symbol in Late Glacial Europe	,Anthony Sinclair	,World Archaeology	,27	,1	,1995-06-01T00:00:00Z	,pp. 50-62	,Taylor & Francis_ Ltd.	,fla	,	,
10.2307/40025096,10.2307/40025096	,Queerying Near Eastern Archaeology	,Karina Croucher	,World Archaeology	,37	,4	,2005-12-01T00:00:00Z	,pp. 610-620	,Taylor & Francis_ Ltd.	,fla	,	,
10.2307/40024068,10.2307/40024068	,Crusading against Straw Men: An Alternative View of Alternative Archaeologies: Response to Holtorf (2005)	,Garrett G. Fagan	Kenneth L. Feder	,World Archaeology	,38	,4	,2006-12-01T00:00:00Z	,pp. 718-729	,Taylor & Francis_ Ltd.	,fla	,	,
10.2307/40024227,10.2307/40024227	,Garden Cultivation of Staple Crops and Its Implications for Settlement Location and Continuity	,Glynis Jones	,World Archaeology	,37	,2	,2005-06-01T00:00:00Z	,pp. 164-176	,Taylor & Francis_ Ltd.	,fla	,	,
10.2307/124519,10.2307/124519	,Volume Information	,	,World Archaeology	,20	,1	,1988-06-01T00:00:00Z	,	,Taylor & Francis_ Ltd.	,mis	,	,
10.2307/124328,10.2307/124328	,Back Matter	,	,World Archaeology	,10	,3	,1979-02-01T00:00:00Z	,pp. 367-370	,Taylor & Francis_ Ltd.	,mis	,	,
10.2307/40023590,10.2307/40023590	,Front Matter	,	,World Archaeology	,38	,1	,2006-03-01T00:00:00Z	,	,Taylor & Francis_ Ltd.	,mis	,	,
10.2307/124277,10.2307/124277	,A Roman Building in the Cambridgeshire Fens_ and Some Parallels near Rome	,T. W. Potter	D. B. Whitehouse	,World Archaeology	,14	,2	,1982-10-01T00:00:00Z	,pp. 218-223	,Taylor & Francis_ Ltd.	,fla	,	,
10.2307/124913,10.2307/124913	,The Cemetery of the Hospital of St James and St Mary Magdalene_ Chichester - A Case Study	,Frances Lee	John Magilton	,World Archaeology	,21	,2	,1989-10-01T00:00:00Z	,pp. 273-282	,Taylor & Francis_ Ltd.	,fla	,	,
10.2307/40026487,10.2307/40026487	,Back Matter	,	,World Archaeology	,39	,1	,2007-03-01T00:00:00Z	,	,Taylor & Francis_ Ltd.	,mis	,	,
10.2307/124766,10.2307/124766	,Integration and Social Reproduction in the Carolingian Empire	,John Moreland	Robert Van de Noort	,World Archaeology	,23	,3	,1992-02-01T00:00:00Z	,pp. 320-334	,Taylor & Francis_ Ltd.	,fla	,	,
10.2307/124419,10.2307/124419	,Volume Information	,	,World Archaeology	,8	,2	,1976-10-01T00:00:00Z	,	,Taylor & Francis_ Ltd.	,mis	,	,
10.2307/124339,10.2307/124339	,Back Matter	,	,World Archaeology	,11	,1	,1979-06-01T00:00:00Z	,pp. 118-120	,Taylor & Francis_ Ltd.	,mis	,	,
10.2307/40023599,10.2307/40023599	,Strange Alliance: Pygmies in the Colonial Imaginary	,Chris Ballard	,World Archaeology	,38	,1	,2006-03-01T00:00:00Z	,pp. 133-151	,Taylor & Francis_ Ltd.	,fla	,	,
10.2307/4128315,10.2307/4128315	,Seascapes and Landscapes in Orkney and Northern Scotland	,Tim Phillips	,World Archaeology	,35	,3	,2003-12-01T00:00:00Z	,pp. 371-384	,Taylor & Francis_ Ltd.	,fla	,	,
10.2307/124272,10.2307/124272	,Terrestrial Photogrammetry in Archaeology	,Angela Fussell	,World Archaeology	,14	,2	,1982-10-01T00:00:00Z	,pp. 157-172	,Taylor & Francis_ Ltd.	,fla	,	,
10.2307/124664,10.2307/124664	,Shipibo Archaeo-Ethnography: Site Formation Processes and Archaeological Interpretation	,Peter E. Siegel	Peter G. Roe	,World Archaeology	,18	,1	,1986-06-01T00:00:00Z	,pp. 96-115	,Taylor & Francis_ Ltd.	,fla	,	,
10.2307/3560230,10.2307/3560230	,Back Matter	,	,World Archaeology	,35	,2	,2003-10-01T00:00:00Z	,pp. 319-321	,Taylor & Francis_ Ltd.	,mis	,	,
10.2307/124863,10.2307/124863	,The Archaeology of the Syrian and Iraqi Hajj Routes	,Andrew Petersen	,World Archaeology	,26	,1	,1994-06-01T00:00:00Z	,pp. 47-56	,Taylor & Francis_ Ltd.	,fla	,	,
10.2307/124285,10.2307/124285	,Approaches to Settlement Archaeology in Sweden	,Berta Stjernquist	,World Archaeology	,9	,3	,1978-02-01T00:00:00Z	,pp. 251-264	,Taylor & Francis_ Ltd.	,fla	,	,
10.2307/124845,10.2307/124845	,Volume Information	,	,World Archaeology	,26	,2	,1994-10-01T00:00:00Z	,	,Taylor & Francis_ Ltd.	,mis	,	,
10.2307/123974,10.2307/123974	,The Hunter-Gatherer Nomads of Northern Mexico: A Comparison of the Archival and Archaeological Records	,Walter W. Taylor	,World Archaeology	,4	,2	,1972-10-01T00:00:00Z	,pp. 167-178	,Taylor & Francis_ Ltd.	,fla	,	,
10.2307/124986,10.2307/124986	,Colonization and Microevolution in Formative Oaxaca_ Mexico	,Alexander F. Christensen	,World Archaeology	,30	,2	,1998-10-01T00:00:00Z	,pp. 262-285	,Taylor & Francis_ Ltd.	,fla	,	,
10.2307/124363,10.2307/124363	,Volume Information	,	,World Archaeology	,10	,	,1979-01-01T00:00:00Z	,p. 1	,Taylor & Francis_ Ltd.	,mis	,	,
