WORDCOUNTS,WEIGHT
by,9
and,9
the,7
university,7
de,4
in,4
of,4
pls,4
n,3
h,3
archaeology,3
vol,3
from,2
oxford,2
british,2
g,2
no,2
t,2
l,2
books,2
price,2
figs,2
art,2
received,2
colour,2
noyes,2
clarendon,2
p,2
james,2
museum,2
park,2
figures,2
i,2
ancient,2
at,1
nicholas,1
to,1
princeton,1
evison,1
petroglyphes,1
kozloff,1
age,1
bidzar,1
tables,1
numerous,1
arielle,1
curzon,1
mycenaean,1
edinburgh,1
social,1
les,1
fairbanks,1
jutes,1
acta,1
david,1
marliac,1
text,1
d,1
twohig,1
an,1
sur,1
terracottas,1
universite,1
megalithic,1
shee,1
cameroun,1
goodrich,1
technique,1
j,1
frederick,1
imperial,1
societatis,1
natural,1
hammond,1
community,1
leo,1
yale,1
campaigns,1
beringia,1
plates,1
agrawal,1
indiana,1
travaux,1
academic,1
scottish,1
morgantina,1
october,1
simpson,1
mildenberg,1
charles,1
richard,1
presented,1
roman,1
septentrional,1
scientifique,1
europe,1
carrington,1
columbia,1
bell,1
as,1
london,1
essays,1
milanich,1
c,1
egypt,1
hope,1
animals,1
weapons,1
tombs,1
press,1
publishers,1
its,1
elizabeth,1
vera,1
recherches,1
john,1
regiae,1
greece,1
alain,1
jerald,1
recherche,1
world,1
iron,1
florida,1
berta,1
atlas,1
bw,1
au,1
ming,1
western,1
kenworthy,1
malcolm,1
greek,1
india,1
la,1
et,1
humaniorum,1
caldwell,1
litterarum,1
office,1
stjernquist,1
fortifications,1
