id,doi,title,author,journaltitle,volume,issue,pubdate,pagerange,publisher,type,reviewed-work
10.2307/41053162,10.2307/41053162	,Recent Trends in Computer Applications in Archaeology	,Julian D. Richards	,Journal of Archaeological Research	,6	,4	,1998-12-01T00:00:00Z	,pp. 331-382	,Springer	,fla	,	,
10.2307/41053224,10.2307/41053224	,New World States and Empires: Politics_ Religion_ and Urbanism	,Michael E. Smith	Katharina J. Schreiber	,Journal of Archaeological Research	,14	,1	,2006-03-01T00:00:00Z	,pp. 1-52	,Springer	,fla	,	,
10.2307/41053253,10.2307/41053253	,Front Matter	,	,Journal of Archaeological Research	,16	,4	,2008-12-01T00:00:00Z	,	,Springer	,mis	,	,
10.2307/41053140,10.2307/41053140	,Ancient Greece: Recent Developments in Aegean Archaeology and Regional Studies	,John Bennet	Michael Galaty	,Journal of Archaeological Research	,5	,1	,1997-03-01T00:00:00Z	,pp. 75-120	,Springer	,fla	,	,
10.2307/41053096,10.2307/41053096	,Irrigation and Society	,Susan H. Lees	,Journal of Archaeological Research	,2	,4	,1994-12-01T00:00:00Z	,pp. 361-378	,Springer	,fla	,	,
10.2307/41053115,10.2307/41053115	,Front Matter	,	,Journal of Archaeological Research	,7	,3	,1999-09-01T00:00:00Z	,	,Springer	,mis	,	,
10.2307/41053227,10.2307/41053227	,Behavioral Ecology and Archaeology	,Douglas W. Bird	James F. O'Connell	,Journal of Archaeological Research	,14	,2	,2006-06-01T00:00:00Z	,pp. 143-188	,Springer	,fla	,	,
10.2307/41053257,10.2307/41053257	,The Neolithic Macro-(R)evolution: Macroevolutionary Theory and the Study of Culture Change	,Melinda A. Zeder	,Journal of Archaeological Research	,17	,1	,2009-03-01T00:00:00Z	,pp. 1-63	,Springer	,fla	,	,
10.2307/41053258,10.2307/41053258	,The Analysis of Stone Tool Procurement_ Production_ and Maintenance	,William Andrefsky Jr.	,Journal of Archaeological Research	,17	,1	,2009-03-01T00:00:00Z	,pp. 65-103	,Springer	,fla	,	,
10.2307/41053237,10.2307/41053237	,Evolutionary Foraging Models in Zooarchaeological Analysis: Recent Applications and Future Challenges	,Karen D. Lupo	,Journal of Archaeological Research	,15	,2	,2007-06-01T00:00:00Z	,pp. 143-189	,Springer	,fla	,	,
10.2307/41053158,10.2307/41053158	,Archaeological Views of Aztec Culture	,Mary G. Hodge	,Journal of Archaeological Research	,6	,3	,1998-09-01T00:00:00Z	,pp. 195-238	,Springer	,fla	,	,
10.2307/41680530,10.2307/41680530	,The Archaeology of Food and Social Diversity	,Katheryn Twiss	,Journal of Archaeological Research	,20	,4	,2012-12-01T00:00:00Z	,pp. 357-395	,Springer	,fla	,	,
10.2307/41053200,10.2307/41053200	,Front Matter	,	,Journal of Archaeological Research	,11	,4	,2003-12-01T00:00:00Z	,	,Springer	,mis	,	,
10.2307/41053246,10.2307/41053246	,The Archaeology of Regions: From Discrete Analytical Toolkit to Ubiquitous Spatial Perspective	,John Kantner	,Journal of Archaeological Research	,16	,1	,2008-03-01T00:00:00Z	,pp. 37-81	,Springer	,fla	,	,
10.2307/41053269,10.2307/41053269	,Early African America: Archaeological Studies of Significance and Diversity	,Christopher C. Fennell	,Journal of Archaeological Research	,19	,1	,2011-03-01T00:00:00Z	,pp. 1-49	,Springer	,fla	,	,
10.2307/41053233,10.2307/41053233	,The Emergence of Ornaments and Art: An Archaeological Perspective on the Origins of "Behavioral Modernity"	,João Zilhão	,Journal of Archaeological Research	,15	,1	,2007-03-01T00:00:00Z	,pp. 1-54	,Springer	,fla	,	,
10.2307/41053066,10.2307/41053066	,Introductory Statement	,Gary M. Feinman	T. Douglas Price	,Journal of Archaeological Research	,1	,1	,1993-03-01T00:00:00Z	,pp. 1-4	,Springer	,mis	,	,
10.2307/41053218,10.2307/41053218	,Recent Research in Puebla Prehistory	,Patricia Plunket	Gabriela Uruñuela	,Journal of Archaeological Research	,13	,2	,2005-06-01T00:00:00Z	,pp. 89-127	,Springer	,fla	,	,
10.2307/41053244,10.2307/41053244	,Front Matter	,	,Journal of Archaeological Research	,16	,1	,2008-03-01T00:00:00Z	,	,Springer	,mis	,	,
10.2307/41053261,10.2307/41053261	,Hopewell Archaeology: A View from the Northern Woodlands	,Elliot M. Abrams	,Journal of Archaeological Research	,17	,2	,2009-06-01T00:00:00Z	,pp. 169-204	,Springer	,fla	,	,
10.2307/41053234,10.2307/41053234	,Baffles and Bastions: The Universal Features of Fortifications	,Lawrence H. Keeley	Marisa Fontana	Russell Quick	,Journal of Archaeological Research	,15	,1	,2007-03-01T00:00:00Z	,pp. 55-95	,Springer	,fla	,	,
10.2307/41053230,10.2307/41053230	,Recent Trends in Theorizing Prehispanic Mesoamerican Economies	,E. Christian Wells	,Journal of Archaeological Research	,14	,4	,2006-12-01T00:00:00Z	,pp. 265-312	,Springer	,fla	,	,
10.2307/41053240,10.2307/41053240	,Cultural Transmission Theory and the Archaeological Record: Providing Context to Understanding Variation and Temporal Changes in Material Culture	,Jelmer W. Eerkens	Carl P. Lipo	,Journal of Archaeological Research	,15	,3	,2007-09-01T00:00:00Z	,pp. 239-274	,Springer	,fla	,	,
10.2307/41053215,10.2307/41053215	,The Emergence of Social Complexity in the Chibchan World of Southern Central America and Northern Colombia_ AD 300-600	,John W. Hoopes	,Journal of Archaeological Research	,13	,1	,2005-03-01T00:00:00Z	,pp. 1-47	,Springer	,fla	,	,
10.2307/41053186,10.2307/41053186	,The Archaeology of War: A North American Perspective	,Patricia M. Lambert	,Journal of Archaeological Research	,10	,3	,2002-09-01T00:00:00Z	,pp. 207-241	,Springer	,fla	,	,
10.2307/41053226,10.2307/41053226	,The Archaeology of South Asian Cities	,Monica L. Smith	,Journal of Archaeological Research	,14	,2	,2006-06-01T00:00:00Z	,pp. 97-142	,Springer	,fla	,	,
10.2307/41053207,10.2307/41053207	,Tiwanaku and Its Precursors: Recent Research and Emerging Perspectives	,John W. Janusek	,Journal of Archaeological Research	,12	,2	,2004-06-01T00:00:00Z	,pp. 121-183	,Springer	,fla	,	,
10.2307/41410940,10.2307/41410940	,The Archaeology of Tula_ Hidalgo_ Mexico	,Dan M. Healan	,Journal of Archaeological Research	,20	,1	,2012-03-01T00:00:00Z	,pp. 53-115	,Springer	,fla	,	,
10.2307/41053083,10.2307/41053083	,Southwest and Northwest: Recent Research at the Juncture of the United States and Mexico	,Paul R. Fish	Suzanne K. Fish	,Journal of Archaeological Research	,2	,1	,1994-03-01T00:00:00Z	,pp. 3-44	,Springer	,fla	,	,
10.2307/41053266,10.2307/41053266	,Historical Archaeology of Indigenous Culture Change in Mesoamerica	,Joel W. Palka	,Journal of Archaeological Research	,17	,4	,2009-12-01T00:00:00Z	,pp. 297-346	,Springer	,fla	,	,
10.2307/41053129,10.2307/41053129	,Regional Approaches to Mesopotamian Archaeology: The Contribution of Archaeological Surveys	,T. J. Wilkinson	,Journal of Archaeological Research	,8	,3	,2000-09-01T00:00:00Z	,pp. 219-267	,Springer	,fla	,	,
10.2307/41053176,10.2307/41053176	,Regional Research on the Inca	,Charles Stanish	,Journal of Archaeological Research	,9	,3	,2001-09-01T00:00:00Z	,pp. 213-241	,Springer	,fla	,	,
10.2307/41053220,10.2307/41053220	,Front Matter	,	,Journal of Archaeological Research	,13	,3	,2005-09-01T00:00:00Z	,	,Springer	,mis	,	,
10.2307/41053222,10.2307/41053222	,Reassessing the Emergence of Village Life in the Near East	,Brian F. Byrd	,Journal of Archaeological Research	,13	,3	,2005-09-01T00:00:00Z	,pp. 231-290	,Springer	,fla	,	,
10.2307/41053164,10.2307/41053164	,The Archaeology of Copán_ Honduras	,David Webster	,Journal of Archaeological Research	,7	,1	,1999-03-01T00:00:00Z	,pp. 1-53	,Springer	,fla	,	,
10.2307/41053099,10.2307/41053099	,Where Is Lowland Maya Archaeology Headed?	,Joyce Marcus	,Journal of Archaeological Research	,3	,1	,1995-03-01T00:00:00Z	,pp. 3-53	,Springer	,fla	,	,
10.2307/41053245,10.2307/41053245	,Studies of Gender in the Prehispanic Americas	,Traci Ardren	,Journal of Archaeological Research	,16	,1	,2008-03-01T00:00:00Z	,pp. 1-35	,Springer	,fla	,	,
10.2307/41053265,10.2307/41053265	,Front Matter	,	,Journal of Archaeological Research	,17	,4	,2009-12-01T00:00:00Z	,	,Springer	,mis	,	,
10.2307/41053103,10.2307/41053103	,The Postprocessual Condition	,Robert W. Preucel	,Journal of Archaeological Research	,3	,2	,1995-06-01T00:00:00Z	,pp. 147-175	,Springer	,fla	,	,
10.2307/41053195,10.2307/41053195	,Recent Advances in Maya Archaeology	,Joyce Marcus	,Journal of Archaeological Research	,11	,2	,2003-06-01T00:00:00Z	,pp. 71-148	,Springer	,fla	,	,
10.2307/41053172,10.2307/41053172	,Low-Level Food Production	,Bruce D. Smith	,Journal of Archaeological Research	,9	,1	,2001-03-01T00:00:00Z	,pp. 1-43	,Springer	,fla	,	,
10.2307/41053118,10.2307/41053118	,Front Matter	,	,Journal of Archaeological Research	,7	,4	,1999-12-01T00:00:00Z	,	,Springer	,mis	,	,
10.2307/41053204,10.2307/41053204	,The Archaeology of California	,Jeanne E. Arnold	Michael R. Walsh	Sandra E. Hollimon	,Journal of Archaeological Research	,12	,1	,2004-03-01T00:00:00Z	,pp. 1-73	,Springer	,fla	,	,
10.2307/41053190,10.2307/41053190	,Recent Issues in the Archaeology of the Mimbres Region of the North American Southwest	,Michelle Hegmon	,Journal of Archaeological Research	,10	,4	,2002-12-01T00:00:00Z	,pp. 307-357	,Springer	,fla	,	,
10.2307/41053109,10.2307/41053109	,Introduction to Volume 4	,Gary M. Feinman	T. Douglas Price	,Journal of Archaeological Research	,4	,1	,1996-03-01T00:00:00Z	,pp. 1-2	,Springer	,mis	,	,
10.2307/41018854,10.2307/41018854	,Front Matter	,	,Journal of Archaeological Research	,13	,4	,2005-12-01T00:00:00Z	,	,Springer	,mis	,	,
10.2307/41053120,10.2307/41053120	,Japanese Archaeology in the 1990s	,Gina L. Barnes	Masaaki Okita	,Journal of Archaeological Research	,7	,4	,1999-12-01T00:00:00Z	,pp. 349-395	,Springer	,fla	,	,
10.2307/41053068,10.2307/41053068	,Doing Great Basin Archaeology Recently: Coping with Variability	,Robert L. Bettinger	,Journal of Archaeological Research	,1	,1	,1993-03-01T00:00:00Z	,pp. 43-66	,Springer	,fla	,	,
10.2307/41018855,10.2307/41018855	,European Regional Studies: A Coming of Age?	,Michael L. Galaty	,Journal of Archaeological Research	,13	,4	,2005-12-01T00:00:00Z	,pp. 291-336	,Springer	,fla	,	,
10.2307/41053088,10.2307/41053088	,Changing Perceptions of West Africa's Past: Archaeological Research Since 1988	,Susan Keech McIntosh	,Journal of Archaeological Research	,2	,2	,1994-06-01T00:00:00Z	,pp. 165-198	,Springer	,fla	,	,
10.2307/41053067,10.2307/41053067	,New World Complex Societies: Recent Economic_ Social_ and Political Studies	,Michael E. Smith	,Journal of Archaeological Research	,1	,1	,1993-03-01T00:00:00Z	,pp. 5-41	,Springer	,fla	,	,
10.2307/41053075,10.2307/41053075	,Long-Term Developments in Complex Hunter-Gatherer Societies: Recent Perspectives from the Pacific Coast of North America	,Kent G. Lightfoot	,Journal of Archaeological Research	,1	,3	,1993-09-01T00:00:00Z	,pp. 167-201	,Springer	,fla	,	,
10.2307/41053166,10.2307/41053166	,Front Matter	,	,Journal of Archaeological Research	,7	,2	,1999-06-01T00:00:00Z	,	,Springer	,mis	,	,
10.2307/41053173,10.2307/41053173	,Stone Tool Research at the End of the Millennium: Classification_ Function_ and Behavior	,George H. Odell	,Journal of Archaeological Research	,9	,1	,2001-03-01T00:00:00Z	,pp. 45-100	,Springer	,fla	,	,
10.2307/41053229,10.2307/41053229	,Engendered and Feminist Archaeologies of the Recent and Documented Pasts	,Laurie A. Wilkie	Katherine Howlett Hayes	,Journal of Archaeological Research	,14	,3	,2006-09-01T00:00:00Z	,pp. 243-264	,Springer	,fla	,	,
10.2307/41053114,10.2307/41053114	,Recent Ceramic Analysis: 1. Function_ Style_ and Origins	,Prudence M. Rice	,Journal of Archaeological Research	,4	,2	,1996-06-01T00:00:00Z	,pp. 133-163	,Springer	,fla	,	,
10.2307/41053239,10.2307/41053239	,Advances in Polynesian Prehistory: A Review and Assessment of the Past Decade (1993-2004)	,Patrick V. Kirch	Jennifer G. Kahn	,Journal of Archaeological Research	,15	,3	,2007-09-01T00:00:00Z	,pp. 191-238	,Springer	,fla	,	,
10.2307/41053231,10.2307/41053231	,Craft Production_ Exchange_ and Political Power in the Pre-Incaic Andes	,Kevin J. Vaughn	,Journal of Archaeological Research	,14	,4	,2006-12-01T00:00:00Z	,pp. 313-344	,Springer	,fla	,	,
10.2307/41053119,10.2307/41053119	,Risk-Sensitive Adaptive Tactics: Models and Evidence from Subsistence Studies in Biology and Anthropology	,Bruce Winterhalder	Flora Lu	Bram Tucker	,Journal of Archaeological Research	,7	,4	,1999-12-01T00:00:00Z	,pp. 301-348	,Springer	,fla	,	,
10.2307/41053193,10.2307/41053193	,Recent Progress in Bioarchaeology: Approaches to the Osteological Paradox	,Lori E. Wright	Cassady J. Yoder	,Journal of Archaeological Research	,11	,1	,2003-03-01T00:00:00Z	,pp. 43-70	,Springer	,fla	,	,
10.2307/41053137,10.2307/41053137	,Front Matter	,	,Journal of Archaeological Research	,5	,1	,1997-03-01T00:00:00Z	,	,Springer	,mis	,	,
10.2307/41053199,10.2307/41053199	,The Production and Exchange of Marine Shell Prestige Goods	,Mary Beth D. Trubitt	,Journal of Archaeological Research	,11	,3	,2003-09-01T00:00:00Z	,pp. 243-277	,Springer	,fla	,	,
10.2307/41053259,10.2307/41053259	,Front Matter	,	,Journal of Archaeological Research	,17	,2	,2009-06-01T00:00:00Z	,	,Springer	,mis	,	,
10.2307/41053271,10.2307/41053271	,The Archaeology of Historic Battlefields: A History and Theoretical Development in Conflict Archaeology	,Douglas D. Scott	Andrew P. McFeaters	,Journal of Archaeological Research	,19	,1	,2011-03-01T00:00:00Z	,pp. 103-132	,Springer	,fla	,	,
10.2307/41053182,10.2307/41053182	,Front Matter	,	,Journal of Archaeological Research	,10	,2	,2002-06-01T00:00:00Z	,	,Springer	,mis	,	,
10.2307/41053260,10.2307/41053260	,Zooarchaeology in Complex Societies: Political Economy_ Status_ and Ideology	,Susan D. deFrance	,Journal of Archaeological Research	,17	,2	,2009-06-01T00:00:00Z	,pp. 105-168	,Springer	,fla	,	,
10.2307/41053180,10.2307/41053180	,Carnivory_ Coevolution_ and the Geographic Spread of the Genus Homo	,Mary C. Stiner	,Journal of Archaeological Research	,10	,1	,2002-03-01T00:00:00Z	,pp. 1-63	,Springer	,fla	,	,
10.2307/41053238,10.2307/41053238	,Front Matter	,	,Journal of Archaeological Research	,15	,3	,2007-09-01T00:00:00Z	,	,Springer	,mis	,	,
10.2307/41053142,10.2307/41053142	,Gifts Given_ Gifts Taken: The Behavioral Ecology of Nonmarket_ Intragroup Exchange	,Bruce Winterhalder	,Journal of Archaeological Research	,5	,2	,1997-06-01T00:00:00Z	,pp. 121-168	,Springer	,fla	,	,
10.2307/41053121,10.2307/41053121	,Front Matter	,	,Journal of Archaeological Research	,8	,1	,2000-03-01T00:00:00Z	,	,Springer	,mis	,	,
10.2307/41053254,10.2307/41053254	,The Archaeology of Trading Systems_ Part 1: Towards a New Trade Synthesis	,Rahul Oka	Chapurukha M. Kusimba	,Journal of Archaeological Research	,16	,4	,2008-12-01T00:00:00Z	,pp. 339-395	,Springer	,fla	,	,
10.2307/41053192,10.2307/41053192	,Issues on the Diversity and Emergence of Middle-Range Societies of the Ancient Caribbean: A Critique	,L. Antonio Curet	,Journal of Archaeological Research	,11	,1	,2003-03-01T00:00:00Z	,pp. 1-42	,Springer	,fla	,	,
10.2307/41053100,10.2307/41053100	,The Last 200_000 Years (or Thereabouts) in Eastern Africa: Recent Archaeological Research	,Peter Robertshaw	,Journal of Archaeological Research	,3	,1	,1995-03-01T00:00:00Z	,pp. 55-86	,Springer	,fla	,	,
10.2307/23018398,10.2307/23018398	,Everything Old Is New Again: Recent Approaches to Research on the Archaic Period in the Western United States	,Maxine E. McBrinn	,Journal of Archaeological Research	,18	,3	,2010-09-01T00:00:00Z	,pp. 289-329	,Springer	,fla	,	,
10.2307/41053243,10.2307/41053243	,What Maya Collapse? Terminal Classic Variation in the Maya Lowlands	,James J. Aimers	,Journal of Archaeological Research	,15	,4	,2007-12-01T00:00:00Z	,pp. 329-377	,Springer	,fla	,	,
10.2307/41053216,10.2307/41053216	,Creating an Imperial Frontier: Archaeology of the Formation of Rome's Danube Borderland	,Peter S. Wells	,Journal of Archaeological Research	,13	,1	,2005-03-01T00:00:00Z	,pp. 49-88	,Springer	,fla	,	,
10.2307/41053147,10.2307/41053147	,Front Matter	,	,Journal of Archaeological Research	,5	,4	,1997-12-01T00:00:00Z	,	,Springer	,mis	,	,
10.2307/41053196,10.2307/41053196	,Archaeoastronomy in the Ancient Americas	,Anthony F. Aveni	,Journal of Archaeological Research	,11	,2	,2003-06-01T00:00:00Z	,pp. 149-191	,Springer	,fla	,	,
10.2307/41053145,10.2307/41053145	,Evolutionary Approaches in Archaeology	,Charles S. Spencer	,Journal of Archaeological Research	,5	,3	,1997-09-01T00:00:00Z	,pp. 209-264	,Springer	,fla	,	,
10.2307/41053223,10.2307/41053223	,Front Matter	,	,Journal of Archaeological Research	,14	,1	,2006-03-01T00:00:00Z	,	,Springer	,mis	,	,
10.2307/41053134,10.2307/41053134	,Front Matter	,	,Journal of Archaeological Research	,4	,4	,1996-12-01T00:00:00Z	,	,Springer	,mis	,	,
10.2307/41053101,10.2307/41053101	,Worldwide Cross-Cultural Studies and Their Relevance for Archaeology	,Melvin Ember	Carol R. Ember	,Journal of Archaeological Research	,3	,1	,1995-03-01T00:00:00Z	,pp. 87-111	,Springer	,fla	,	,
10.2307/41053264,10.2307/41053264	,New Developments in the Use of Spatial Technology in Archaeology	,Mark D. McCoy	Thegn N. Ladefoged	,Journal of Archaeological Research	,17	,3	,2009-09-01T00:00:00Z	,pp. 263-295	,Springer	,fla	,	,
10.2307/41053165,10.2307/41053165	,Recent Research in Paleoethnobotany	,Christine A. Hastorf	,Journal of Archaeological Research	,7	,1	,1999-03-01T00:00:00Z	,pp. 55-103	,Springer	,fla	,	,
10.2307/23018392,10.2307/23018392	,Twenty-First-Century Historical Archaeology	,Charles E. Orser Jr.	,Journal of Archaeological Research	,18	,2	,2010-06-01T00:00:00Z	,pp. 111-150	,Springer	,fla	,	,
10.2307/41053214,10.2307/41053214	,Front Matter	,	,Journal of Archaeological Research	,13	,1	,2005-03-01T00:00:00Z	,	,Springer	,mis	,	,
10.2307/41053131,10.2307/41053131	,Recent Ceramic Analysis: 2. Composition_ Production_ and Theory	,Prudence M. Rice	,Journal of Archaeological Research	,4	,3	,1996-09-01T00:00:00Z	,pp. 165-202	,Springer	,fla	,	,
10.2307/41053168,10.2307/41053168	,Recent Directions and Developments in Geographical Information Systems	,Kenneth L. Kvamme	,Journal of Archaeological Research	,7	,2	,1999-06-01T00:00:00Z	,pp. 153-201	,Springer	,fla	,	,
10.2307/41053175,10.2307/41053175	,An Archaeology of Landscapes: Perspectives and Directions	,Kurt F. Anschuetz	Richard H. Wilshusen	Cherie L. Scheick	,Journal of Archaeological Research	,9	,2	,2001-06-01T00:00:00Z	,pp. 157-211	,Springer	,fla	,	,
10.2307/41053097,10.2307/41053097	,Front Matter	,	,Journal of Archaeological Research	,3	,1	,1995-03-01T00:00:00Z	,	,Springer	,mis	,	,
10.2307/41053263,10.2307/41053263	,Household Archaeology in the Andes	,Donna J. Nash	,Journal of Archaeological Research	,17	,3	,2009-09-01T00:00:00Z	,pp. 205-261	,Springer	,fla	,	,
10.2307/41053091,10.2307/41053091	,From Early Humans to Farmers and Herders—Recent Progress on Key Transitions in Southwest Asia	,Brian F. Byrd	,Journal of Archaeological Research	,2	,3	,1994-09-01T00:00:00Z	,pp. 221-253	,Springer	,fla	,	,
10.2307/41053130,10.2307/41053130	,Front Matter	,	,Journal of Archaeological Research	,4	,3	,1996-09-01T00:00:00Z	,	,Springer	,mis	,	,
10.2307/41053095,10.2307/41053095	,Current Archaeological Research in the Middle Atlantic Region of the Eastern United States	,Jay F. Custer	,Journal of Archaeological Research	,2	,4	,1994-12-01T00:00:00Z	,pp. 329-360	,Springer	,fla	,	,
10.2307/41053267,10.2307/41053267	,Unity and Diversity in the European Iron Age: Out of the Mists_ Some Clarity?	,Tina Thurston	,Journal of Archaeological Research	,17	,4	,2009-12-01T00:00:00Z	,pp. 347-423	,Springer	,fla	,	,
10.2307/41053157,10.2307/41053157	,Front Matter	,	,Journal of Archaeological Research	,6	,3	,1998-09-01T00:00:00Z	,	,Springer	,mis	,	,
10.2307/41053076,10.2307/41053076	,Paradigms in Science and Archaeology	,G. A. Clark	,Journal of Archaeological Research	,1	,3	,1993-09-01T00:00:00Z	,pp. 203-234	,Springer	,fla	,	,
10.2307/41053077,10.2307/41053077	,Archaeological Trends in the Southern Cone of South America	,Tom D. Dillehay	,Journal of Archaeological Research	,1	,3	,1993-09-01T00:00:00Z	,pp. 235-266	,Springer	,fla	,	,
10.2307/41053221,10.2307/41053221	,New World States and Empires: Economic and Social Organization	,Michael E. Smith	Katharina J. Schreiber	,Journal of Archaeological Research	,13	,3	,2005-09-01T00:00:00Z	,pp. 189-229	,Springer	,fla	,	,
10.2307/41053161,10.2307/41053161	,Status and Role of Formation Theory in Contemporary Archaeological Practice	,Michael J. Shott	,Journal of Archaeological Research	,6	,4	,1998-12-01T00:00:00Z	,pp. 299-329	,Springer	,fla	,	,
10.2307/41053151,10.2307/41053151	,Heterogeneity_ Power_ and Political Economy: Some Current Research Issues in the Archaeology of Old World Complex Societies	,Gil J. Stein	,Journal of Archaeological Research	,6	,1	,1998-03-01T00:00:00Z	,pp. 1-44	,Springer	,fla	,	,
10.2307/23018388,10.2307/23018388	,New Perspectives in Mississippian Archaeology	,John H. Blitz	,Journal of Archaeological Research	,18	,1	,2010-03-01T00:00:00Z	,pp. 1-39	,Springer	,fla	,	,
10.2307/41053278,10.2307/41053278	,Recent Advances in Moche Archaeology	,Claude Chapdelaine	,Journal of Archaeological Research	,19	,2	,2011-06-01T00:00:00Z	,pp. 191-231	,Springer	,fla	,	,
10.2307/41053128,10.2307/41053128	,Historical Archaeology and the Post-Columbian World of North America	,Robert Paynter	,Journal of Archaeological Research	,8	,3	,2000-09-01T00:00:00Z	,pp. 169-217	,Springer	,fla	,	,
10.2307/23018401,10.2307/23018401	,Household Archaeology in the Southeastern United States: History_ Trends_ and Challenges	,Thomas J. Pluckhahn	,Journal of Archaeological Research	,18	,4	,2010-12-01T00:00:00Z	,pp. 331-385	,Springer	,fla	,	,
10.2307/41053078,10.2307/41053078	,Front Matter	,	,Journal of Archaeological Research	,1	,4	,1993-12-01T00:00:00Z	,	,Springer	,mis	,	,
10.2307/41053082,10.2307/41053082	,Introduction to Volume 2	,Gary M. Feinman	T. Douglas Price	,Journal of Archaeological Research	,2	,1	,1994-03-01T00:00:00Z	,pp. 1-2	,Springer	,mis	,	,
10.2307/41053188,10.2307/41053188	,Front Matter	,	,Journal of Archaeological Research	,10	,4	,2002-12-01T00:00:00Z	,	,Springer	,mis	,	,
10.2307/41053141,10.2307/41053141	,Front Matter	,	,Journal of Archaeological Research	,5	,2	,1997-06-01T00:00:00Z	,	,Springer	,mis	,	,
10.2307/41053277,10.2307/41053277	,Advances in the Household Archaeology of Highland Mesoamerica	,David M. Carballo	,Journal of Archaeological Research	,19	,2	,2011-06-01T00:00:00Z	,pp. 133-189	,Springer	,fla	,	,
