WORDCOUNTS,WEIGHT
the,1652
of,1214
and,998
in,699
a,493
to,350
for,250
from,237
at,221
that,201
rcbp,199
american,158
j,156
have,154
d,146
as,137
is,137
on,134
new,126
dates,121
early,120
by,119
this,113
been,113
clovis,111
north,111
paleoindian,109
be,106
et,104
pp,104
are,102
ca,101
were,98
r,97
an,95
with,93
c,91
it,89
or,86
has,83
m,83
not,82
bp,80
human,80
about,78
america,76
was,72
l,69
p,68
sites,66
would,66
world,66
points,65
peopling,64
radiocarbon,63
years,62
site,61
more,61
date,60
but,59
university,57
no,57
evidence,57
than,56
pleistocene,56
late,56
south,56
antiquity,55
found,53
k,53
e,52
first,52
some,51
t,50
may,50
these,49
they,48
s,48
also,48
g,46
if,45
b,45
between,45
eastern,44
lithic,43
research,42
their,40
migration,39
archaeological,39
there,38
southern,38
monte,38
archaeology,38
northern,37
upper,36
age,36
point,35
paleolithic,35
f,35
man,35
recent,35
h,34
paper,34
other,34
central,34
fluted,34
earlier,34
mammoth,33
study,33
had,33
fiedel,33
tools,33
society,33
such,32
paleoindians,32
journal,32
origins,32
presented,32
after,31
people,31
science,31
even,30
could,30
annual,30
only,30
remains,30
center,29
stone,29
into,29
prehistory,29
artifacts,29
native,29
i,28
w,28
occupation,28
assemblages,28
earliest,28
one,27
old,27
initial,27
which,27
dating,27
probably,27
alaska,27
americas,27
meeting,27
might,26
population,26
level,26
ancestral,26
ice,25
asian,25
km,25
before,24
nenana,24
coastal,24
several,24
material,24
made,24
western,23
asia,23
most,23
cultural,23
few,23
verde,23
both,23
jr,22
dated,22
coast,22
populations,22
yet,22
ancient,22
bones,22
quaternary,22
anthropology,22
reported,22
northeast,21
humans,21
within,21
de,21
two,21
east,21
seems,20
its,20
california,20
so,20
very,20
through,20
complex,19
genetic,19
near,19
perhaps,19
corridor,19
small,19
any,19
associated,19
arctic,18
el,18
n,18
presence,18
texas,18
do,18
present,18
assemblage,18
obtained,18
can,18
who,18
later,17
modern,17
china,17
far,17
mtdna,17
bone,17
similar,17
during,17
around,17
extinction,17
we,17
when,17
middle,17
although,17
much,17
now,16
implications,16
all,16
hunting,16
view,16
haplotype,16
end,16
region,16
megafauna,16
seem,16
did,16
should,16
occurred,15
archaeologists,15
rapid,15
tradition,15
mastodon,15
y,15
cave,15
pacific,15
plains,15
colonization,15
yielded,15
archaic,15
southeastern,15
lower,14
origin,14
river,14
glacial,14
seattle,14
culture,14
time,14
mexico,14
stratified,14
known,14
over,14
theory,14
suggests,14
holocene,14
still,14
mongoloid,13
possible,13
americans,13
homo,13
bifaces,13
charcoal,13
folsom,13
del,13
older,13
least,13
chronology,13
skeletons,13
genetics,13
hunters,13
siberia,13
must,13
four,13
association,13
chicago,13
represent,12
likely,12
broken,12
dyuktai,12
santa,12
northeastern,12
appear,12
based,12
big,12
because,12
settlement,12
technology,12
model,12
evolution,12
species,12
what,12
beringia,12
sea,12
lake,12
microblades,11
cactus,11
fishtail,11
great,11
perspective,11
mammoths,11
prehistoric,11
basin,11
method,11
suggest,11
ancestors,11
southeast,11
already,11
v,11
where,11
deposits,11
skeletal,11
period,11
la,11
meadowcroft,11
brazil,11
transition,11
land,11
mongoloids,11
among,11
groups,10
environmental,10
large,10
search,10
british,10
thus,10
southwestern,10
blades,10
component,10
ushki,10
haplotypes,10
york,10
out,10
appears,10
recently,10
younger,10
below,10
results,10
he,10
palaeoecology,10
expansion,10
same,10
dna,10
regional,10
derived,10
like,10
high,10
ago,10
european,10
united,10
physical,10
while,10
boca,9
long,9
nature,9
route,9
along,9
stratum,9
russian,9
environments,9
plenum,9
important,9
produced,9
record,9
blade,9
future,9
stemmed,9
up,9
finds,9
will,9
specimens,9
stratigraphie,9
quebrada,9
areas,9
layer,9
wood,9
range,9
samples,9
use,9
indicate,9
crc,9
inhabitants,9
blood,9
claims,9
cultures,9
current,9
sheets,9
cambridge,9
little,9
dental,9
resulted,8
ostensibly,8
history,8
sources,8
individuals,8
warm,8
typical,8
context,8
case,8
clearly,8
interior,8
industries,8
rather,8
absent,8
peru,8
archeological,8
suggested,8
paleoarctic,8
appearance,8
international,8
academic,8
interpreted,8
smithsonian,8
industry,8
siberian,8
movement,8
many,8
discovery,8
ancestry,8
adaptations,8
nashville,8
rapidly,8
each,8
report,8
too,8
contain,8
ohio,8
numerous,8
fauna,8
states,8
area,8
pedra,8
occur,8
toolkit,7
contemporaneous,7
studies,7
acceptance,7
analyses,7
relatively,7
columbia,7
distribution,7
across,7
argued,7
show,7
faunal,7
extinct,7
possibility,7
cores,7
chinese,7
cannot,7
explain,7
data,7
london,7
climatic,7
social,7
cold,7
climate,7
moved,7
investigating,7
absence,7
materials,7
single,7
al,7
variation,7
anthropologist,7
ages,7
less,7
see,7
significant,7
lakes,7
times,7
last,7
problems,7
dryas,7
blackwater,7
analysis,7
continental,7
emergence,7
whether,7
isolated,7
washington,7
include,7
does,6
common,6
warming,6
tierra,6
replaced,6
organic,6
differences,6
cerro,6
investigations,6
alabama,6
vol,6
beverly,6
apart,6
dalton,6
sapiens,6
since,6
sample,6
distinct,6
island,6
traits,6
how,6
sort,6
basic,6
process,6
subsistence,6
alaskan,6
skeleton,6
pebble,6
beyond,6
kennewick,6
viewed,6
well,6
tool,6
northwest,6
contains,6
actually,6
thule,6
horizon,6
either,6
change,6
credible,6
tennessee,6
calibration,6
female,6
once,6
oxford,6
soon,6
noted,6
nevada,6
occupations,6
mitochondrial,6
pygmy,6
above,6
distance,6
artifact,6
lapa,6
demonstrated,6
jobo,6
sinodont,6
upon,6
maritime,6
cranial,6
mousterian,6
prédation,6
three,6
features,6
denali,6
department,6
institution,6
chert,6
hill,6
seen,6
lineages,6
forest,6
swan,6
rocksheiter,6
ivory,6
erectus,6
type,6
microlithic,6
unique,6
them,6
adaptation,6
techniques,6
territory,6
da,6
shown,6
until,6
obvious,6
ranged,6
cone,6
overkill,6
hypothesis,6
san,5
continent,5
bifacial,5
retouched,5
neolithic,5
ii,5
europe,5
simple,5
wave,5
farther,5
bering,5
vegetation,5
marine,5
those,5
account,5
west,5
rosa,5
fossil,5
solutrean,5
diversity,5
microblade,5
million,5
relationships,5
past,5
agate,5
regarded,5
six,5
compared,5
biological,5
furada,5
van,5
collagen,5
divergence,5
remain,5
examined,5
variant,5
bolshoi,5
special,5
lay,5
support,5
just,5
represented,5
surface,5
flakes,5
complete,5
came,5
arrival,5
ocean,5
mainly,5
burial,5
steele,5
hypothetical,5
source,5
almost,5
overlying,5
crude,5
part,5
work,5
lithics,5
excavated,5
dillehay,5
quite,5
yukon,5
australian,5
preliminary,5
subsequently,5
second,5
goshen,5
valsequillo,5
toolkits,5
thought,5
wisconsin,5
stones,5
fell,5
others,5
available,5
rock,5
occurrence,5
appeared,5
diverse,5
pattern,5
fragments,5
japan,5
residues,5
national,5
spread,5
direct,5
plant,5
mammals,5
martin,5
evolutionary,5
anderson,5
perspectives,5
sometimes,5
five,5
canada,5
problematic,5
anthropological,5
contained,5
peoples,5
geographic,5
brazilian,5
natural,5
associations,5
distinctive,5
living,5
bands,5
table,5
game,5
problem,5
virginia,5
northwestern,5
models,5
argentina,5
accept,5
off,5
close,5
recognized,5
comparable,5
major,5
difficult,4
survived,4
rate,4
macroblades,4
stylistic,4
miguel,4
mountains,4
crossing,4
linguistic,4
bryan,4
former,4
contexts,4
consistent,4
way,4
subarctic,4
posed,4
wooden,4
belong,4
beynon,4
assays,4
state,4
evaluation,4
side,4
suspect,4
projectile,4
replacement,4
anatomically,4
x,4
cited,4
economies,4
sand,4
exposed,4
review,4
expect,4
theorized,4
palaeolithic,4
convincing,4
back,4
left,4
estimate,4
died,4
valleys,4
dust,4
wales,4
cobbles,4
biface,4
interesting,4
bull,4
prince,4
en,4
levels,4
assuming,4
creek,4
tree,4
animals,4
cueva,4
cherts,4
possibly,4
entry,4
presumably,4
traces,4
carolina,4
ecuador,4
peninsula,4
dc,4
result,4
basalt,4
concentration,4
caucasoid,4
chipped,4
percentages,4
excavations,4
daisy,4
flaked,4
accelerator,4
basis,4
los,4
apparent,4
southwest,4
description,4
trumpet,4
personal,4
giant,4
pottery,4
lowest,4
order,4
event,4
hemisphere,4
soil,4
bridge,4
core,4
generally,4
using,4
florida,4
ana,4
reduced,4
various,4
short,4
indicates,4
initially,4
hominids,4
santana,4
springs,4
represents,4
us,4
indian,4
published,4
lanceolate,4
academy,4
lack,4
valid,4
turner,4
scholars,4
really,4
distributions,4
procurement,4
woman,4
teeth,4
number,4
another,4
local,4
disease,4
atlantic,4
dispersals,4
beringian,4
persisted,4
band,4
willey,4
described,4
discovered,4
crania,4
characterized,4
skulls,4
black,4
latter,4
exchange,4
gravel,4
slightly,4
occupied,4
separate,4
relationship,4
note,4
africa,4
sealed,4
laurentide,4
movements,4
usually,4
sinodonty,4
millennia,4
centuries,4
then,4
changing,4
temporal,4
terrestrial,4
sciences,4
der,4
colorado,4
flint,4
ancestor,4
specialized,4
global,4
setting,4
best,4
generalized,4
proposed,4
jennings,4
proceedings,4
plants,4
temperatures,4
researchers,4
preserved,4
quartzite,4
atmospheric,4
became,4
variability,4
pine,4
spring,4
similarity,4
vance,4
salt,4
canadian,4
specialists,4
effects,4
oldest,4
reached,4
entire,4
observed,4
fladmark,3
fraction,3
created,3
intriguing,3
per,3
somewhere,3
envisioned,3
considerations,3
vermilion,3
moving,3
foragers,3
alleged,3
being,3
certainly,3
production,3
macroband,3
taken,3
kilometers,3
containing,3
incisors,3
includes,3
throughout,3
hundred,3
lagoa,3
subsequent,3
primitive,3
situ,3
routes,3
sheet,3
similarities,3
occasional,3
ascribed,3
existence,3
anthropologists,3
bird,3
mutation,3
development,3
prior,3
elgakhchan,3
crossed,3
processes,3
choppers,3
prevented,3
density,3
haynes,3
postcranial,3
prey,3
athapaskan,3
baikal,3
severe,3
calculated,3
due,3
against,3
corals,3
application,3
eurasian,3
given,3
repatriation,3
estimates,3
santo,3
immigrants,3
concerning,3
fig,3
young,3
lineage,3
effective,3
find,3
geological,3
look,3
corrected,3
traditions,3
piedra,3
general,3
arqueológicas,3
costa,3
crow,3
fort,3
knife,3
philadelphia,3
flake,3
without,3
camp,3
landscape,3
killing,3
certain,3
amur,3
front,3
changes,3
colonizing,3
bluefish,3
meltzer,3
torroni,3
elsewhere,3
shore,3
aubrey,3
underwater,3
resource,3
assume,3
drought,3
founding,3
assessments,3
location,3
societies,3
